우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166054|개포로21길|Gaepo-ro 21-gil|0|11|0|1168010300112490001000001||골든빌리지|1168010300|개포동||개포4동|0|1249|01|1||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|213|0|1168010300102460003000001||골든빌오피스텔|1168010300|개포동||개포4동|0|1246|01|3||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116804166069|개포로88길|Gaepo-ro 88-gil|0|6|0|1168010300101860018019919||공신빌딩|1168010300|개포동||개포2동|0|186|01|18||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166056|개포로24길|Gaepo-ro 24-gil|0|33|0|1168010300112040000000001||공영주차장|1168010300|개포동|||0|1204|01|0||
06336|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|623|1|1168010300100130002000001||공영주차장|1168010300|개포동|||0|13|01|2||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|244|0|1168010300102120000020468||광수빌딩|1168010300|개포동||개포4동|0|1212|01|0||
06324|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|29|0|1168010300101510000028230||경기여자고등학교|1168010300|개포동||개포2동|0|152|01|0||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|78|0|1168010300101840008020949||경빌딩|1168010300|개포동||개포4동|0|1184|01|8||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|50|0|1168010300101720011019426||경빌딩|1168010300|개포동||개포2동|0|172|02|11||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166171|논현로2길|Nonhyeon-ro 2-gil|0|6|0|1168010300111640000000001||골드캐슬|1168010300|개포동||개포4동|0|1164|01|0||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|6|0|1168010300102130000021304||개포동단지형다세대|1168010300|개포동||개포4동|0|1213|01|0||
06305|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|265|0|1168010300106550004019666||개포동메디시스빌딩|1168010300|개포동||개포4동|0|655|01|4||
06323|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|405|0|1168010300101760001026807||개포동상지리츠빌|1168010300|개포동||개포2동|0|176|01|1||
06324|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|1|420|0|1168010300101950000020868||개포동역|1168010300|개포동||개포2동|0|195|01|0||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166483|선릉로4길|Seolleung-ro 4-gil|0|25|0|1168010300101570003019471||개포동천주교회|1168010300|개포동||개포2동|0|157|01|1||
06324|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|416|0|1168010300101530000028234||개포디지털혁신파크|1168010300|개포동||개포2동|0|153|01|0||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166058|개포로26길|Gaepo-ro 26-gil|0|28|0|1168010300112050004000001||골든빌|1168010300|개포동||개포4동|0|1205|01|4||
06322|서울특별시|Seoul|강남구|Gangnam-gu|||116804166611|언주로6길|Eonju-ro 6-gil|0|12|0|1168010300106600025019729||개포엘지움|1168010300|개포동||개포1동|0|660|01|25||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|12|0|1168010300101590002019532||개포연립|1168010300|개포동||개포2동|0|159|01|2||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|512|0|1168010300101860017019901||개포종합상가|1168010300|개포동||개포2동|0|186|01|17||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|10|0|1168010300101690002019452||개포좋은집|1168010300|개포동||개포2동|0|169|01|2||
06330|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|516|0|1168010300101850000019804||개포주공아파트|1168010300|개포동||개포2동|0|185|01|0||
06321|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|9|0|1168010300106600037019656||개포중학교|1168010300|개포동||개포1동|0|660|02|37||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|261|0|1168010300102680000020336||개포파출소|1168010300|개포동||개포4동|0|1268|01|0||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166481|선릉로18길|Seolleung-ro 18-gil|0|12|0|1168010300101720008019323||개포현대아파트|1168010300|개포동||개포2동|0|172|01|3||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166166|논현로20길|Nonhyeon-ro 20-gil|0|14|0|1168010300102370004027639||거호빌딩|1168010300|개포동||개포4동|0|1237|01|4||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|245|0|1168010300102590005020423||건우빌딩|1168010300|개포동||개포4동|0|1259|01|5||
06317|서울특별시|Seoul|강남구|Gangnam-gu|||116803005086|언주로|Eonju-ro|0|110|0|1168010300106490000019192||경남아파트|1168010300|개포동||개포1동|0|649|02|0||
06328|서울특별시|Seoul|강남구|Gangnam-gu|||116802122002|영동대로|Yeongdong-daero|0|101|0|1168010300101840000019087||개원중학교|1168010300|개포동||개포2동|0|184|01|0||
06321|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|29|0|1168010300106600010019609||개원초등학교|1168010300|개포동||개포1동|0|660|02|10||
06323|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|401|0|1168010300101740000019173||개일초등학교|1168010300|개포동||개포2동|0|174|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166111|논현로10길|Nonhyeon-ro 10-gil|0|19|0|1168010300111970005000001||개포119안전센터|1168010300|개포동||개포4동|0|1197|01|5||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|36|0|1168010300101670011019530||개포1동우체국|1168010300|개포동||개포2동|0|167|02|11||
06328|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|511|0|1168010300101820000020839||개포2동주민센터|1168010300|개포동||개포2동|0|182|01|0||
06305|서울특별시|Seoul|강남구|Gangnam-gu|||116803005086|언주로|Eonju-ro|0|103|0|1168010300106550005019633||개포2차현대아파트|1168010300|개포동||개포4동|0|655|02|2||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166066|개포로38길|Gaepo-ro 38-gil|0|12|0|1168010300112110004000001||개포4동주민센터|1168010300|개포동||개포4동|0|1211|01|4||
06324|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|402|0|1168010300101730000019211||개포고등학교|1168010300|개포동||개포2동|0|173|01|0||
06327|서울특별시|Seoul|강남구|Gangnam-gu|||116804166483|선릉로4길|Seolleung-ro 4-gil|0|30|0|1168010300101390000019499||개포도서관|1168010300|개포동||개포2동|0|139|01|0||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166171|논현로2길|Nonhyeon-ro 2-gil|0|41|0|1168010300111660007000001||개포동1166-7공동주택|1168010300|개포동||개포4동|0|1166|01|7||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|22|3|1168010300111730015000001||개포동1173-15공동주택|1168010300|개포동||개포4동|0|1173|01|15||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166443|선릉로10길|Seolleung-ro 10-gil|0|22|4|1168010300101630001019426||개포동공동주택|1168010300|개포동||개포2동|0|163|01|1||
06336|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|617|8|1168010300100140002000001||강남구 건강가정지원센터|1168010300|개포동||일원2동|0|14|01|2||
06310|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|264|0|1168010300106560000019957||개포래미안포레스트|1168010300|개포동|||0|1282|01|0||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166483|선릉로4길|Seolleung-ro 4-gil|0|19|0|1168010300101570009019527||개포렉스힐|1168010300|개포동||개포2동|0|157|01|9||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|14|0|1168010300111930005000001||개포비버리하임|1168010300|개포동||개포4동|0|1193|01|5||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|38|0|1168010300101860001019917||개포빌딩|1168010300|개포동||개포2동|0|186|01|1||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|30|0|1168010300101670006019566||개포빌딩|1168010300|개포동||개포2동|0|167|02|4||
06357|서울특별시|Seoul|강남구|Gangnam-gu|||116802000006|양재대로|Yangjae-daero|0|344|27|1168010300110570009000001||강남드림빌|1168010300|개포동||개포4동|0|1057|01|9||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|4|11|1168010300111690011000001||가우디|1168010300|개포동||개포4동|0|1169|01|11||
06335|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|605|0|1168010300100120010000001||강남 장애인 문화복지관|1168010300|개포동||일원2동|0|12|01|10||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166058|개포로26길|Gaepo-ro 26-gil|0|20|0|1168010300112050001000001||W하우스|1168010300|개포동|||0|1205|01|1||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166166|논현로20길|Nonhyeon-ro 20-gil|0|22|0|1168010300112370008000001||YH빌리지|1168010300|개포동||개포4동|0|1237|01|8||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|256|0|1168010300112120006000001||RIFATRON 빌딩|1168010300|개포동||개포4동|0|1212|01|6||
06336|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|621|0|1168010300100140005020118||SH공사|1168010300|개포동||일원2동|0|14|01|5||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|88|0|1168010300102290001020566||KSD노엘빌딩|1168010300|개포동||개포4동|0|1229|02|1||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166052|개포로17길|Gaepo-ro 17-gil|0|9|3|1168010300112450005000001||G-heim|1168010300|개포동||개포4동|0|1245|01|5||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|11|0|1168010300111890011000001||HC|1168010300|개포동||개포4동|0|1189|01|11||
06315|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|67|0|1168010300111830010000001||Artespace|1168010300|개포동||개포4동|0|1183|01|10||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|25|0|1168010300102310013020648||JHT개포빌딩|1168010300|개포동||개포4동|0|1231|01|13||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|9|6|1168010300111960009000001||Classe|1168010300|개포동||개포4동|0|1196|01|9||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|30|6|1168010300111740003000001||DAONVILL|1168010300|개포동||개포4동|0|1174|01|3||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|24|0|1168010300111860000000001||1186하우스|1168010300|개포동||개포4동|0|1186|01|0||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166443|선릉로10길|Seolleung-ro 10-gil|0|16|0|1168010300101640009019445||9COZYVILLE|1168010300|개포동||개포2동|0|164|01|9||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166171|논현로2길|Nonhyeon-ro 2-gil|0|66|0|1168010300111640027000001||더본하우스|1168010300|개포동||개포4동|0|1164|01|27||
